UniProt	GeneSymbol	ChEMBL	PrefName	TaxID	Organism
P03952	KLKB1	CHEMBL2000	Plasma kallikrein	9606	Homo sapiens
P04035	HMGCR	CHEMBL402	HMG-CoA reductase	9606	Homo sapiens
P04150	NR3C1	CHEMBL2034	Glucocorticoid receptor	9606	Homo sapiens
P04818	TYMS	CHEMBL1952	Thymidylate synthase	9606	Homo sapiens
P05023	ATP1A1	CHEMBL1807	Sodium/potassium-transporting ATPase alpha-1 chain	9606	Homo sapiens
P05091	ALDH2	CHEMBL1935	Aldehyde dehydrogenase	9606	Homo sapiens
P05108	CYP11A1	CHEMBL2033	Cytochrome P450 11A1	9606	Homo sapiens
P68371	TUBB4B	CHEMBL1848	Tubulin beta-2 chain	9606	Homo sapiens
P05556	ITGB1	CHEMBL1905	Fibronectin receptor beta	9606	Homo sapiens
P06213	INSR	CHEMBL1981	Insulin receptor	9606	Homo sapiens
P06401	PGR	CHEMBL208	Progesterone receptor	9606	Homo sapiens
P0AES6	gyrB	CHEMBL1826	DNA gyrase subunit B	83333	Escherichia coli K-12
P07099	EPHX1	CHEMBL1968	Epoxide hydrolase 1	9606	Homo sapiens
P07101	TH	CHEMBL1969	Tyrosine 3-hydroxylase	9606	Homo sapiens
P07202	TPO	CHEMBL1839	Thyroid peroxidase	9606	Homo sapiens
P07327	ADH1A	CHEMBL1970	Alcohol dehydrogenase alpha chain	9606	Homo sapiens
P07477	PRSS1	CHEMBL209	Trypsin I	9606	Homo sapiens
P07550	ADRB2	CHEMBL210	Beta-2 adrenergic receptor	9606	Homo sapiens
P07862	ddlB	CHEMBL1956	D-alanylalanine synthetase	83333	Escherichia coli K-12
P0AD65	mrdA	CHEMBL1840	Penicillin-binding protein 2	83333	Escherichia coli K-12
P08172	CHRM2	CHEMBL211	Muscarinic acetylcholine receptor M2	9606	Homo sapiens
P08235	NR3C2	CHEMBL1994	Mineralocorticoid receptor	9606	Homo sapiens
P08514	ITGA2B	CHEMBL212	Integrin alpha-IIb	9606	Homo sapiens
P08588	ADRB1	CHEMBL213	Beta-1 adrenergic receptor	9606	Homo sapiens
P08908	HTR1A	CHEMBL214	Serotonin 1a (5-HT1a) receptor	9606	Homo sapiens
P08913	ADRA2A	CHEMBL1867	Alpha-2a adrenergic receptor	9606	Homo sapiens
P0AES4	gyrA	CHEMBL1858	DNA gyrase subunit A	83333	Escherichia coli K-12
P09884	POLA1	CHEMBL1828	DNA polymerase alpha subunit	9606	Homo sapiens
P09917	ALOX5	CHEMBL215	Arachidonate 5-lipoxygenase	9606	Homo sapiens
P10275	AR	CHEMBL1871	Androgen Receptor	9606	Homo sapiens
P10276	RARA	CHEMBL2055	Retinoic acid receptor alpha	9606	Homo sapiens
P10613	ERG11	CHEMBL1780	Cytochrome P450 51	237561	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
P10827	THRA	CHEMBL1860	Thyroid hormone receptor alpha	9606	Homo sapiens
P10912	GHR	CHEMBL1976	Growth hormone receptor	9606	Homo sapiens
P11229	CHRM1	CHEMBL216	Muscarinic acetylcholine receptor M1	9606	Homo sapiens
P11387	TOP1	CHEMBL1781	DNA topoisomerase I	9606	Homo sapiens
P11388	TOP2A	CHEMBL1806	DNA topoisomerase II alpha	9606	Homo sapiens
P11473	VDR	CHEMBL1977	Vitamin D receptor	9606	Homo sapiens
P11511	CYP19A1	CHEMBL1978	Cytochrome P450 19A1	9606	Homo sapiens
P12268	IMPDH2	CHEMBL2002	Inosine-5'-monophosphate dehydrogenase 2	9606	Homo sapiens
P12821	ACE	CHEMBL1808	Angiotensin-converting enzyme	9606	Homo sapiens
P14324	FDPS	CHEMBL1782	Farnesyl diphosphate synthase	9606	Homo sapiens
P14416	DRD2	CHEMBL217	Dopamine D2 receptor	9606	Homo sapiens
P14679	TYR	CHEMBL1973	Tyrosinase	9606	Homo sapiens
P14867	GABRA1	CHEMBL1962	GABA receptor alpha-1 subunit	9606	Homo sapiens
P15538	CYP11B1	CHEMBL1908	Cytochrome P450 11B1	9606	Homo sapiens
P16233	PNLIP	CHEMBL1812	Pancreatic lipase	9606	Homo sapiens
P16473	TSHR	CHEMBL1963	Thyroid stimulating hormone receptor	9606	Homo sapiens
P18405	SRD5A1	CHEMBL1787	Steroid 5-alpha-reductase 1	9606	Homo sapiens
P62942	FKBP1A	CHEMBL1902	FK506-binding protein 1A	9606	Homo sapiens
P20138	CD33	CHEMBL1842	Myeloid cell surface antigen CD33	9606	Homo sapiens
P20711	DDC	CHEMBL1843	DOPA decarboxylase	9606	Homo sapiens
P20839	IMPDH1	CHEMBL1822	Inosine-5'-monophosphate dehydrogenase 1	9606	Homo sapiens
P21397	MAOA	CHEMBL1951	Monoamine oxidase A	9606	Homo sapiens
P21554	CNR1	CHEMBL218	Cannabinoid CB1 receptor	9606	Homo sapiens
P21728	DRD1	CHEMBL2056	Dopamine D1 receptor	9606	Homo sapiens
P21817	RYR1	CHEMBL1846	Ryanodine receptor 1	9606	Homo sapiens
P21917	DRD4	CHEMBL219	Dopamine D4 receptor	9606	Homo sapiens
P21964	COMT	CHEMBL2023	Catechol O-methyltransferase	9606	Homo sapiens
P22303	ACHE	CHEMBL220	Acetylcholinesterase	9606	Homo sapiens
P22888	LHCGR	CHEMBL1854	Luteinizing hormone/Choriogonadotropin receptor	9606	Homo sapiens
P23219	PTGS1	CHEMBL221	Cyclooxygenase-1	9606	Homo sapiens
P23284	PPIB	CHEMBL2075	Cyclophilin B	9606	Homo sapiens
P23921	RRM1	CHEMBL1830	Ribonucleoside-diphosphate reductase M1 chain	9606	Homo sapiens
P23945	FSHR	CHEMBL2024	Follicle stimulating hormone receptor	9606	Homo sapiens
P23975	SLC6A2	CHEMBL222	Norepinephrine transporter	9606	Homo sapiens
P25021	HRH2	CHEMBL1941	Histamine H2 receptor	9606	Homo sapiens
P25100	ADRA1D	CHEMBL223	Alpha-1d adrenergic receptor	9606	Homo sapiens
P27338	MAOB	CHEMBL2039	Monoamine oxidase B	9606	Homo sapiens
P28221	HTR1D	CHEMBL1983	Serotonin 1d (5-HT1d) receptor	9606	Homo sapiens
P28222	HTR1B	CHEMBL1898	Serotonin 1b (5-HT1b) receptor	9606	Homo sapiens
P28223	HTR2A	CHEMBL224	Serotonin 2a (5-HT2a) receptor	9606	Homo sapiens
P28335	HTR2C	CHEMBL225	Serotonin 2c (5-HT2c) receptor	9606	Homo sapiens
P0A749	murA	CHEMBL1984	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	83333	Escherichia coli K-12
P0AEK4	fabI	CHEMBL1857	Enoyl-[acyl-carrier-protein] reductase	83333	Escherichia coli K-12
P29218	IMPA1	CHEMBL1786	Inositol-1(or 4)-monophosphatase 1	9606	Homo sapiens
P30518	AVPR2	CHEMBL1790	Vasopressin V2 receptor	9606	Homo sapiens
P30531	SLC6A1	CHEMBL1903	GABA transporter 1	9606	Homo sapiens
P30542	ADORA1	CHEMBL226	Adenosine A1 receptor	9606	Homo sapiens
P30556	AGTR1	CHEMBL227	Type-1 angiotensin II receptor	9606	Homo sapiens
P30559	OXTR	CHEMBL2049	Oxytocin receptor	9606	Homo sapiens
P30874	SSTR2	CHEMBL1804	Somatostatin receptor 2	9606	Homo sapiens
P30968	GNRHR	CHEMBL1855	Gonadotropin-releasing hormone receptor	9606	Homo sapiens
P30988	CALCR	CHEMBL1832	Calcitonin receptor	9606	Homo sapiens
P31213	SRD5A2	CHEMBL1856	Steroid 5-alpha-reductase 2	9606	Homo sapiens
P31645	SLC6A4	CHEMBL228	Serotonin transporter	9606	Homo sapiens
P32476	ERG1	CHEMBL1888	Squalene monooxygenase	559292	Saccharomyces cerevisiae S288c
P32754	HPD	CHEMBL1861	4-hydroxyphenylpyruvate dioxygenase	9606	Homo sapiens
P34998	CRHR1	CHEMBL1800	Corticotropin releasing factor receptor 1	9606	Homo sapiens
P35348	ADRA1A	CHEMBL229	Alpha-1a adrenergic receptor	9606	Homo sapiens
P35354	PTGS2	CHEMBL230	Cyclooxygenase-2	9606	Homo sapiens
P35367	HRH1	CHEMBL231	Histamine H1 receptor	9606	Homo sapiens
P35368	ADRA1B	CHEMBL232	Alpha-1b adrenergic receptor	9606	Homo sapiens
P35372	OPRM1	CHEMBL233	Mu opioid receptor	9606	Homo sapiens
P35462	DRD3	CHEMBL234	Dopamine D3 receptor	9606	Homo sapiens
P35498	SCN1A	CHEMBL1845	Sodium channel protein type I alpha subunit	9606	Homo sapiens
P37088	SCNN1A	CHEMBL1791	Amiloride-sensitive sodium channel alpha-subunit	9606	Homo sapiens
P37231	PPARG	CHEMBL235	Peroxisome proliferator-activated receptor gamma	9606	Homo sapiens
P37288	AVPR1A	CHEMBL1889	Vasopressin V1a receptor	9606	Homo sapiens
P41143	OPRD1	CHEMBL236	Delta opioid receptor	9606	Homo sapiens
P41145	OPRK1	CHEMBL237	Kappa opioid receptor	9606	Homo sapiens
P41146	OPRL1	CHEMBL2014	Nociceptin receptor	9606	Homo sapiens
P41972	ileS	CHEMBL1982	Isoleucyl-tRNA synthetase	1280	Staphylococcus aureus
P43088	PTGFR	CHEMBL1987	Prostanoid FP receptor	9606	Homo sapiens
P43116	PTGER2	CHEMBL1881	Prostanoid EP2 receptor	9606	Homo sapiens
P43119	PTGIR	CHEMBL1995	Prostanoid IP receptor	9606	Homo sapiens
P46098	HTR3A	CHEMBL1899	Serotonin 3a (5-HT3a) receptor	9606	Homo sapiens
P9WGR1	inhA	CHEMBL1849	Enoyl-[acyl-carrier-protein] reductase	1773	Mycobacterium tuberculosis
P47871	GCGR	CHEMBL1985	Glucagon receptor	9606	Homo sapiens
P47872	SCTR	CHEMBL1925	Secretin receptor	9606	Homo sapiens
P47901	AVPR1B	CHEMBL1921	Vasopressin V1b receptor	9606	Homo sapiens
P47989	XDH	CHEMBL1929	Xanthine dehydrogenase	9606	Homo sapiens
P54289	CACNA2D1	CHEMBL1919	Voltage-gated calcium channel alpha2/delta subunit 1	9606	Homo sapiens
P55017	SLC12A3	CHEMBL1876	Thiazide-sensitive sodium-chloride cotransporter	9606	Homo sapiens
P9WNL9	embA	CHEMBL1877	Arabinosyltransferase A	1773	Mycobacterium tuberculosis
P80404	ABAT	CHEMBL2044	Gamma-amino-N-butyrate transaminase	9606	Homo sapiens
Q01718	MC2R	CHEMBL1965	Melanocortin receptor 2	9606	Homo sapiens
Q01959	SLC6A3	CHEMBL238	Dopamine transporter	9606	Homo sapiens
Q02127	DHODH	CHEMBL1966	Dihydroorotate dehydrogenase	9606	Homo sapiens
Q02643	GHRHR	CHEMBL2032	Growth hormone-releasing hormone receptor	9606	Homo sapiens
Q02768	MT-CYB	CHEMBL1777	Cytochrome b	5833	Plasmodium falciparum
Q03431	PTH1R	CHEMBL1793	Parathyroid hormone receptor	9606	Homo sapiens
Q05586	GRIN1	CHEMBL2015	Glutamate (NMDA) receptor subunit zeta 1	9606	Homo sapiens
Q05940	SLC18A2	CHEMBL1893	Synaptic vesicular amine transporter	9606	Homo sapiens
Q07869	PPARA	CHEMBL239	Peroxisome proliferator-activated receptor alpha	9606	Homo sapiens
Q09428	ABCC8	CHEMBL2071	Sulfonylurea receptor 1	9606	Homo sapiens
Q12809	KCNH2	CHEMBL240	HERG	9606	Homo sapiens
Q12879	GRIN2A	CHEMBL1972	Glutamate [NMDA] receptor subunit epsilon 1	9606	Homo sapiens
Q13621	SLC12A1	CHEMBL1874	Sodium-(potassium)-chloride cotransporter 2	9606	Homo sapiens
Q13639	HTR4	CHEMBL1875	Serotonin 4 (5-HT4) receptor	9606	Homo sapiens
Q13936	CACNA1C	CHEMBL1940	Voltage-gated L-type calcium channel alpha-1C subunit	9606	Homo sapiens
Q14432	PDE3A	CHEMBL241	Phosphodiesterase 3A	9606	Homo sapiens
Q16881	TXNRD1	CHEMBL1927	Thioredoxin reductase 1	9606	Homo sapiens
Q92731	ESR2	CHEMBL242	Estrogen receptor beta	9606	Homo sapiens
Q99808	SLC29A1	CHEMBL1997	Equilibrative nucleoside transporter 1	9606	Homo sapiens
Q9H244	P2RY12	CHEMBL2001	Purinergic receptor P2Y12	9606	Homo sapiens
Q9Y271	CYSLTR1	CHEMBL1798	Cysteinyl leukotriene receptor 1	9606	Homo sapiens
P62937	PPIA	CHEMBL1949	Cyclophilin A	9606	Homo sapiens
P11836	MS4A1	CHEMBL2058	B-lymphocyte antigen CD20	9606	Homo sapiens
P01589	IL2RA	CHEMBL1778	Interleukin-2 receptor alpha chain	9606	Homo sapiens
P31873	S	CHEMBL1928	Major surface antigen	489449	Hepatitis B virus adw2/Southern-Africa/Cai
Q04609	FOLH1	CHEMBL1892	Glutamate carboxypeptidase II	9606	Homo sapiens
P01375	TNF	CHEMBL1825	TNF-alpha	9606	Homo sapiens
P04958	tetX	CHEMBL2036	Tetanus toxin	212717	Clostridium tetani (strain Massachusetts / E88)
P15692	VEGFA	CHEMBL1783	Vascular endothelial growth factor A	9606	Homo sapiens
P04626	ERBB2	CHEMBL1824	Receptor protein-tyrosine kinase erbB-2	9606	Homo sapiens
P20701	ITGAL	CHEMBL1803	Leukocyte adhesion glycoprotein LFA-1 alpha	9606	Homo sapiens
Q72874	pol	CHEMBL243	Human immunodeficiency virus type 1 protease	11676	Human immunodeficiency virus 1
P00740	F9	CHEMBL2016	Coagulation factor IX	9606	Homo sapiens
P00742	F10	CHEMBL244	Coagulation factor X	9606	Homo sapiens
P01374	LTA	CHEMBL2059	TNF-beta	9606	Homo sapiens
P06729	CD2	CHEMBL2040	T-cell surface antigen CD2	9606	Homo sapiens
P09619	PDGFRB	CHEMBL1913	Platelet-derived growth factor receptor beta	9606	Homo sapiens
P14778	IL1R1	CHEMBL1959	Interleukin-1 receptor	9606	Homo sapiens
P17181	IFNAR1	CHEMBL1887	Interferon-alpha/beta receptor alpha chain	9606	Homo sapiens
P19235	EPOR	CHEMBL1817	Erythropoietin receptor	9606	Homo sapiens
P31358	CD52	CHEMBL1912	CAMPATH-1 antigen	9606	Homo sapiens
Q14626	IL11RA	CHEMBL2050	Interleukin 11 receptor alpha	9606	Homo sapiens
Q99062	CSF3R	CHEMBL1996	Granulocyte colony stimulating factor receptor	9606	Homo sapiens
Q9UNI1	CELA1	CHEMBL3000	Elastase 1	9606	Homo sapiens
P02919	mrcB	CHEMBL1814	Penicillin-binding protein 1B	83333	Escherichia coli K-12
P06479	TK	CHEMBL1820	Thymidine kinase	10309	Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)
P08173	CHRM4	CHEMBL1821	Muscarinic acetylcholine receptor M4	9606	Homo sapiens
P08912	CHRM5	CHEMBL2035	Muscarinic acetylcholine receptor M5	9606	Homo sapiens
P18089	ADRA2B	CHEMBL1942	Alpha-2b adrenergic receptor	9606	Homo sapiens
P18825	ADRA2C	CHEMBL1916	Alpha-2c adrenergic receptor	9606	Homo sapiens
P20309	CHRM3	CHEMBL245	Muscarinic acetylcholine receptor M3	9606	Homo sapiens
P21918	DRD5	CHEMBL1850	Dopamine D5 receptor	9606	Homo sapiens
P47870	GABRB2	CHEMBL1920	GABA receptor beta-2 subunit	9606	Homo sapiens
Q13224	GRIN2B	CHEMBL1904	Glutamate [NMDA] receptor subunit epsilon 2	9606	Homo sapiens
Q15413	RYR3	CHEMBL2062	Ryanodine receptor 3	9606	Homo sapiens
Q9BQB6	VKORC1	CHEMBL1930	Vitamin k epoxide reductase complex subunit 1 isoform 1	9606	Homo sapiens
P13945	ADRB3	CHEMBL246	Beta-3 adrenergic receptor	9606	Homo sapiens
P41595	HTR2B	CHEMBL1833	Serotonin 2b (5-HT2b) receptor	9606	Homo sapiens
Q72547	pol	CHEMBL247	Human immunodeficiency virus type 1 reverse transcriptase	11676	Human immunodeficiency virus 1
P01854	IGHE	CHEMBL1834	Ig epsilon chain C region	9606	Homo sapiens
P06858	LPL	CHEMBL2060	Lipoprotein lipase	9606	Homo sapiens
P07766	CD3E	CHEMBL1975	T-cell surface glycoprotein CD3 epsilon chain	9606	Homo sapiens
P08069	IGF1R	CHEMBL1957	Insulin-like growth factor I receptor	9606	Homo sapiens
P08246	ELANE	CHEMBL248	Leukocyte elastase	9606	Homo sapiens
P08473	MME	CHEMBL1944	Neprilysin	9606	Homo sapiens
P09960	LTA4H	CHEMBL4618	Leukotriene A4 hydrolase	9606	Homo sapiens
P10721	KIT	CHEMBL1936	Stem cell growth factor receptor	9606	Homo sapiens
P13631	RARG	CHEMBL2003	Retinoic acid receptor gamma	9606	Homo sapiens
P14060	HSD3B1	CHEMBL1958	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I	9606	Homo sapiens
P15121	AKR1B1	CHEMBL1900	Aldose reductase	9606	Homo sapiens
P15144	ANPEP	CHEMBL1907	Aminopeptidase N	9606	Homo sapiens
P16066	NPR1	CHEMBL1988	Atrial natriuretic peptide receptor A	9606	Homo sapiens
P16444	DPEP1	CHEMBL1989	Renal dipeptidase	9606	Homo sapiens
P21731	TBXA2R	CHEMBL2069	Thromboxane A2 receptor	9606	Homo sapiens
P24530	EDNRB	CHEMBL1785	Endothelin receptor ET-B	9606	Homo sapiens
P24557	TBXAS1	CHEMBL1835	Thromboxane-A synthase	9606	Homo sapiens
P25101	EDNRA	CHEMBL252	Endothelin receptor ET-A	9606	Homo sapiens
P25103	TACR1	CHEMBL249	Neurokinin 1 receptor	9606	Homo sapiens
P25105	PTAFR	CHEMBL250	Platelet activating factor receptor	9606	Homo sapiens
P29274	ADORA2A	CHEMBL251	Adenosine A2a receptor	9606	Homo sapiens
P32352	ERG2	CHEMBL3224	C-8 sterol isomerase	559292	Saccharomyces cerevisiae S288c
P34972	CNR2	CHEMBL253	Cannabinoid CB2 receptor	9606	Homo sapiens
P34981	TRHR	CHEMBL1810	Thyrotropin-releasing hormone receptor	9606	Homo sapiens
P34995	PTGER1	CHEMBL1811	Prostanoid EP1 receptor	9606	Homo sapiens
P35408	PTGER4	CHEMBL1836	Prostanoid EP4 receptor	9606	Homo sapiens
P39051	TPR	CHEMBL1837	Trypanothione reductase	5702	Trypanosoma brucei brucei
P40238	MPL	CHEMBL1864	Thrombopoietin receptor	9606	Homo sapiens
P48443	RXRG	CHEMBL2004	Retinoid X receptor gamma	9606	Homo sapiens
P54219	SLC18A1	CHEMBL1838	Vesicular amine transporter 1	9606	Homo sapiens
P10826	RARB	CHEMBL2008	Retinoic acid receptor beta	9606	Homo sapiens
P10828	THRB	CHEMBL1947	Thyroid hormone receptor beta-1	9606	Homo sapiens
P11926	ODC1	CHEMBL1869	Ornithine decarboxylase	9606	Homo sapiens
P19793	RXRA	CHEMBL2061	Retinoid X receptor alpha	9606	Homo sapiens
P27815	PDE4A	CHEMBL254	Phosphodiesterase 4A	9606	Homo sapiens
P28702	RXRB	CHEMBL1870	Retinoid X receptor beta	9606	Homo sapiens
P29275	ADORA2B	CHEMBL255	Adenosine A2b receptor	9606	Homo sapiens
P30939	HTR1F	CHEMBL1805	Serotonin 1f (5-HT1f) receptor	9606	Homo sapiens
P0DMS8	ADORA3	CHEMBL256	Adenosine A3 receptor	9606	Homo sapiens
P41180	CASR	CHEMBL1878	Calcium sensing receptor	9606	Homo sapiens
P51649	ALDH5A1	CHEMBL1911	Succinate semialdehyde dehydrogenase	9606	Homo sapiens
Q14654	KCNJ11	CHEMBL1886	Potassium channel, inwardly rectifying, subfamily J, member 11	9606	Homo sapiens
Q16739	UGCG	CHEMBL2063	Ceramide glucosyltransferase	9606	Homo sapiens
P0AFI2	parC	CHEMBL1895	Topoisomerase IV subunit A	83333	Escherichia coli K-12
P26358	DNMT1	CHEMBL1993	DNA (cytosine-5)-methyltransferase 1	9606	Homo sapiens
Q9Y6K1	DNMT3A	CHEMBL1992	DNA (cytosine-5)-methyltransferase 3A	9606	Homo sapiens
Q25704	PPPK-DHPS	CHEMBL2013	Dihydropteroate synthetase	5833	Plasmodium falciparum
P9WGY9	rpoB	CHEMBL2006	DNA-directed RNA polymerase beta chain	1773	Mycobacterium tuberculosis
P9WP31	ddl	CHEMBL2030	D-alanylalanine synthetase	1773	Mycobacterium tuberculosis
P9WQA9	alr	CHEMBL2031	Alanine racemase	1773	Mycobacterium tuberculosis
Q9UHC9	NPC1L1	CHEMBL2027	Niemann-Pick C1-like protein 1	9606	Homo sapiens
O13383	CaFKS1	CHEMBL2037	Beta-1,3-glucan synthase	5476	Candida albicans
O60906	SMPD2	CHEMBL4712	Neutral sphingomyelinase	9606	Homo sapiens
P07339	CTSD	CHEMBL2581	Cathepsin D	9606	Homo sapiens
P15169	CPN1	CHEMBL4713	Carboxypeptidase N, catalytic subunit	9606	Homo sapiens
P30285	Cdk4	CHEMBL2134	Cyclin-dependent kinase 4	10090	Mus musculus
P20248	CCNA2	CHEMBL2582	Cyclin A2	9606	Homo sapiens
P33534	Oprk1	CHEMBL4329	Kappa opioid receptor	10090	Mus musculus
O43613	HCRTR1	CHEMBL5113	Orexin receptor 1	9606	Homo sapiens
P49653	P2rx2	CHEMBL2135	P2X purinoceptor 2	10116	Rattus norvegicus
O70344	KCNQ1	CHEMBL5135	Voltage-gated potassium channel subunit Kv7.1	10141	Cavia porcellus
Q15077	P2RY6	CHEMBL4714	Pyrimidinergic receptor P2Y6	9606	Homo sapiens
P00592	PLA2G1B	CHEMBL4715	Phospholipase A2 group 1B	9823	Sus scrofa
P21556	PTAFR	CHEMBL5136	Platelet activating factor receptor	10141	Cavia porcellus
Q9NS75	CYSLTR2	CHEMBL4330	Cysteinyl leukotriene receptor 2	9606	Homo sapiens
Q9NP56	PDE7B	CHEMBL4716	Phosphodiesterase 7B	9606	Homo sapiens
P20142	PGC	CHEMBL2136	Pepsinogen C	9606	Homo sapiens
Q15172	PPP2R5A	CHEMBL4763	Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, alpha isoform	9606	Homo sapiens
Q02152	Htr2b	CHEMBL2583	Serotonin 2b (5-HT2b) receptor	10090	Mus musculus
P32304	Htr7	CHEMBL4764	Serotonin 7 (5-HT7) receptor	10090	Mus musculus
P12389	Chrna2	CHEMBL2584	Neuronal acetylcholine receptor protein alpha-2 subunit	10116	Rattus norvegicus
P43144	Chrna9	CHEMBL2585	Neuronal acetylcholine receptor protein alpha-9 subunit	10116	Rattus norvegicus
P35351	Agtr2	CHEMBL257	Angiotensin II type 2 (AT-2) receptor	10116	Rattus norvegicus
P00811	ampC	CHEMBL2026	Beta-lactamase AmpC	83333	Escherichia coli K-12
P05412	JUN	CHEMBL4977	Proto-oncogene c-JUN	9606	Homo sapiens
P04114	APOB	CHEMBL4549	Apolipoprotein B-100	9606	Homo sapiens
Q28044	ADRB2	CHEMBL3373	Beta-2 adrenergic receptor	9913	Bos taurus
Q92934	BAD	CHEMBL3817	Bcl2-antagonist of cell death (BAD)	9606	Homo sapiens
P00807	blaZ	CHEMBL4114	Beta-lactamase	1280	Staphylococcus aureus
P30411	BDKRB2	CHEMBL3157	Bradykinin B2 receptor	9606	Homo sapiens
P24592	IGFBP6	CHEMBL2139	Insulin-like growth factor binding protein 6	9606	Homo sapiens
P04351	Il2	CHEMBL2466	Interleukin-2	10090	Mus musculus
P10145	CXCL8	CHEMBL2157	Interleukin-8	9606	Homo sapiens
P21761	Trhr	CHEMBL2467	Thyrotropin-releasing hormone receptor	10090	Mus musculus
P08703	pcbC	CHEMBL3158	Isopenicillin N synthetase	5076	Penicillium chrysogenum
P07478	PRSS2	CHEMBL3159	Trypsin II	9606	Homo sapiens
P68400	CSNK2A1	CHEMBL3629	Casein kinase II alpha	9606	Homo sapiens
P07607	Tyms	CHEMBL3160	Thymidylate synthase	10090	Mus musculus
P52961	ART1	CHEMBL2158	ADP-ribosyltransferase	9606	Homo sapiens
P15531	NME1	CHEMBL2159	Nucleoside diphosphate kinase 1	9606	Homo sapiens
P22392	NME2	CHEMBL2160	Nucleoside diphosphate kinase 2	9606	Homo sapiens
O43293	DAPK3	CHEMBL2468	Death-associated protein kinase 3	9606	Homo sapiens
P79483	HLA-DRB3	CHEMBL3460	HLA class II histocompatibility antigen DRB3-1	9606	Homo sapiens
Q9H4Y5	GSTO2	CHEMBL2161	Glutathione transferase omega 2	9606	Homo sapiens
Q9BZX2	UCK2	CHEMBL2469	Uridine-cytidine kinase 2	9606	Homo sapiens
P78527	PRKDC	CHEMBL3142	DNA-dependent protein kinase	9606	Homo sapiens
Q9QZN9	Cnr2	CHEMBL2470	Cannabinoid CB2 receptor	10116	Rattus norvegicus
P56450	Mc4r	CHEMBL3719	Melanocortin receptor 4	10090	Mus musculus
P0AE18	map	CHEMBL3423	Methionine aminopeptidase	83333	Escherichia coli K-12
P20151	KLK2	CHEMBL2442	Kallikrein 2	9606	Homo sapiens
P49862	KLK7	CHEMBL2443	Kallikrein 7	9606	Homo sapiens
P07098	LIPF	CHEMBL1796	Gastric lipase	9606	Homo sapiens
P23946	CMA1	CHEMBL4068	Chymase	9606	Homo sapiens
P22412	DPEP1	CHEMBL2626	Renal dipeptidase	9823	Sus scrofa
P04276	Gc	CHEMBL2163	Vitamin D-binding protein	10116	Rattus norvegicus
P35347	Crhr1	CHEMBL2446	Corticotropin releasing factor receptor 1	10090	Mus musculus
Q99943	AGPAT1	CHEMBL3583	1-acylglycerol-3-phosphate O-acyltransferase alpha	9606	Homo sapiens
P62136	PPP1CA	CHEMBL2164	Serine/threonine protein phosphatase PP1-alpha catalytic subunit	9606	Homo sapiens
P51436	Drd4	CHEMBL2574	Dopamine D4 receptor	10090	Mus musculus
P27707	DCK	CHEMBL2447	Deoxycytidine kinase	9606	Homo sapiens
Q9HBH1	PDF	CHEMBL4647	Peptide deformylase mitochondrial	9606	Homo sapiens
