Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
Q8IZY2	reviewed	ATP-binding cassette sub-family A member 7 (ABCA-SSN) (Autoantigen SS-N) (Macrophage ABC transporter)	ABCA7	ABCA7		Homo sapiens (Human)	9606	2146
P08183	reviewed	Multidrug resistance protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family B member 1) (P-glycoprotein 1) (CD antigen CD243)	ABCB1 MDR1 PGY1	ABCB1	MDR1 PGY1	Homo sapiens (Human)	9606	1280
O95342	reviewed	Bile salt export pump (ATP-binding cassette sub-family B member 11)	ABCB11 BSEP	ABCB11	BSEP	Homo sapiens (Human)	9606	1321
P21439	reviewed	Phosphatidylcholine translocator ABCB4 (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (EC 7.6.2.2) (P-glycoprotein 3)	ABCB4 MDR3 PGY3	ABCB4	MDR3 PGY3	Homo sapiens (Human)	9606	1286
Q9NP58	reviewed	ATP-binding cassette sub-family B member 6, mitochondrial (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)	ABCB6 MTABC3 PRP UMAT	ABCB6	MTABC3 PRP UMAT	Homo sapiens (Human)	9606	842
O75027	reviewed	ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)	ABCB7 ABC7	ABCB7	ABC7	Homo sapiens (Human)	9606	752
Q92887	reviewed	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	ABCC2	CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	9606	1545
O95255	reviewed	Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E)	ABCC6 ARA MRP6	ABCC6	ARA MRP6	Homo sapiens (Human)	9606	1503
Q09428	reviewed	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	ABCC8 HRINS SUR SUR1	ABCC8	HRINS SUR SUR1	Homo sapiens (Human)	9606	1581
O60706	reviewed	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	ABCC9 SUR2	ABCC9	SUR2	Homo sapiens (Human)	9606	1549
P33897	reviewed	ATP-binding cassette sub-family D member 1 (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD	ABCD1	ALD	Homo sapiens (Human)	9606	745
P28288	reviewed	ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70)	ABCD3 PMP70 PXMP1	ABCD3	PMP70 PXMP1	Homo sapiens (Human)	9606	659
O14678	reviewed	ATP-binding cassette sub-family D member 4 (PMP70-related protein) (P70R) (Peroxisomal membrane protein 1-like) (PXMP1-L) (Peroxisomal membrane protein 69) (PMP69)	ABCD4 PXMP1L	ABCD4	PXMP1L	Homo sapiens (Human)	9606	606
Q9H222	reviewed	ATP-binding cassette sub-family G member 5 (Sterolin-1)	ABCG5	ABCG5		Homo sapiens (Human)	9606	651
Q9H221	reviewed	ATP-binding cassette sub-family G member 8 (Sterolin-2)	ABCG8	ABCG8		Homo sapiens (Human)	9606	673
Q8NFV4	reviewed	Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)	ABHD11 WBSCR21 PP1226	ABHD11	WBSCR21	Homo sapiens (Human)	9606	315
Q8N2K0	reviewed	Monoacylglycerol lipase ABHD12 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 12)	ABHD12 C20orf22	ABHD12	C20orf22	Homo sapiens (Human)	9606	398
Q8WTS1	reviewed	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58)	ABHD5 NCIE2 CGI-58	ABHD5	NCIE2	Homo sapiens (Human)	9606	349
Q8IZP0	reviewed	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	ABI1 SSH3BP1	ABI1	SSH3BP1	Homo sapiens (Human)	9606	508
P00519	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	ABL1	ABL JTK7	Homo sapiens (Human)	9606	1130
Q13085	reviewed	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACACA ACAC ACC1 ACCA	ACACA	ACAC ACC1 ACCA	Homo sapiens (Human)	9606	2346
Q9UKU7	reviewed	Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)	ACAD8 ARC42 IBD	ACAD8	ARC42 IBD	Homo sapiens (Human)	9606	415
Q9H845	reviewed	Acyl-CoA dehydrogenase family member 9, mitochondrial (ACAD-9) (EC 1.3.99.-)	ACAD9	ACAD9		Homo sapiens (Human)	9606	621
P28330	reviewed	Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)	ACADL	ACADL		Homo sapiens (Human)	9606	430
P11310	reviewed	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	ACADM	ACADM		Homo sapiens (Human)	9606	421
P16219	reviewed	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)	ACADS	ACADS		Homo sapiens (Human)	9606	412
P45954	reviewed	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)	ACADSB	ACADSB		Homo sapiens (Human)	9606	432
P49748	reviewed	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)	ACADVL VLCAD	ACADVL	VLCAD	Homo sapiens (Human)	9606	655
P24752	reviewed	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	ACAT1 ACAT MAT	ACAT1	ACAT MAT	Homo sapiens (Human)	9606	427
P35610	reviewed	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT	SOAT1	ACACT ACACT1 ACAT ACAT1 SOAT STAT	Homo sapiens (Human)	9606	550
P12821	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	ACE DCP DCP1	ACE	DCP DCP1	Homo sapiens (Human)	9606	1306
Q99798	reviewed	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	ACO2		Homo sapiens (Human)	9606	780
Q15067	reviewed	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX)	ACOX1 ACOX	ACOX1	ACOX	Homo sapiens (Human)	9606	660
P11117	reviewed	Lysosomal acid phosphatase (LAP) (EC 3.1.3.2)	ACP2	ACP2		Homo sapiens (Human)	9606	423
P13686	reviewed	Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase)	ACP5	ACP5		Homo sapiens (Human)	9606	325
Q9BZG2	reviewed	Testicular acid phosphatase (EC 3.1.3.2) (Acid phosphatase 4)	ACP4 ACPT	ACP4	ACPT	Homo sapiens (Human)	9606	426
Q4G176	reviewed	Acyl-CoA synthetase family member 3, mitochondrial (EC 6.2.1.-)	ACSF3 PSEC0197	ACSF3		Homo sapiens (Human)	9606	576
O60488	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	ACSL4	ACS4 FACL4 LACS4	Homo sapiens (Human)	9606	711
Q9UKU0	reviewed	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6)	ACSL6 ACS2 FACL6 KIAA0837 LACS5	ACSL6	ACS2 FACL6 KIAA0837 LACS5	Homo sapiens (Human)	9606	697
P68133	reviewed	Actin, alpha skeletal muscle (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	ACTA1 ACTA	ACTA1	ACTA	Homo sapiens (Human)	9606	377
P62736	reviewed	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	ACTA2	ACTSA ACTVS	Homo sapiens (Human)	9606	377
P60709	reviewed	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	ACTB		Homo sapiens (Human)	9606	375
P68032	reviewed	Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	ACTC1 ACTC	ACTC1	ACTC	Homo sapiens (Human)	9606	377
P63261	reviewed	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	ACTG1	ACTG	Homo sapiens (Human)	9606	375
P63267	reviewed	Actin, gamma-enteric smooth muscle (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	ACTG2 ACTA3 ACTL3 ACTSG	ACTG2	ACTA3 ACTL3 ACTSG	Homo sapiens (Human)	9606	376
P12814	reviewed	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	ACTN1	ACTN1		Homo sapiens (Human)	9606	892
P35609	reviewed	Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein)	ACTN2	ACTN2		Homo sapiens (Human)	9606	894
O43707	reviewed	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	ACTN4		Homo sapiens (Human)	9606	911
Q04771	reviewed	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	ACVR1	ACVRLK2	Homo sapiens (Human)	9606	509
P36896	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	ACVR1B	ACVRLK4 ALK4	Homo sapiens (Human)	9606	505
Q13705	reviewed	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	ACVR2B		Homo sapiens (Human)	9606	512
P37023	reviewed	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	ACVRL1	ACVRLK1 ALK1	Homo sapiens (Human)	9606	503
Q03154	reviewed	Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)	ACY1	ACY1		Homo sapiens (Human)	9606	408
P00813	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	ADA ADA1	ADA	ADA1	Homo sapiens (Human)	9606	363
O14672	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	ADAM10	KUZ MADM	Homo sapiens (Human)	9606	748
P78536	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	ADAM17 CSVP TACE	ADAM17	CSVP TACE	Homo sapiens (Human)	9606	824
Q9UKF5	reviewed	Disintegrin and metalloproteinase domain-containing protein 29 (ADAM 29) (Cancer/testis antigen 73) (CT73)	ADAM29	ADAM29		Homo sapiens (Human)	9606	820
Q9BZ11	reviewed	Disintegrin and metalloproteinase domain-containing protein 33 (ADAM 33) (EC 3.4.24.-)	ADAM33 C20orf153 UNQ873/PRO1891	ADAM33	C20orf153	Homo sapiens (Human)	9606	813
Q9H2U9	reviewed	Disintegrin and metalloproteinase domain-containing protein 7 (ADAM 7) (Sperm maturation-related glycoprotein GP-83)	ADAM7 GP83	ADAM7	GP83	Homo sapiens (Human)	9606	754
Q13443	reviewed	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)	ADAM9 KIAA0021 MCMP MDC9 MLTNG	ADAM9	KIAA0021 MCMP MDC9 MLTNG	Homo sapiens (Human)	9606	819
Q9H324	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 10 (ADAM-TS 10) (ADAM-TS10) (ADAMTS-10) (EC 3.4.24.-)	ADAMTS10	ADAMTS10		Homo sapiens (Human)	9606	1103
Q76LX8	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	ADAMTS13 C9orf8 UNQ6102/PRO20085	ADAMTS13	C9orf8	Homo sapiens (Human)	9606	1427
Q8TE56	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 17 (ADAM-TS 17) (ADAM-TS17) (ADAMTS-17) (EC 3.4.24.-)	ADAMTS17	ADAMTS17		Homo sapiens (Human)	9606	1095
Q8TE60	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18) (EC 3.4.24.-)	ADAMTS18 ADAMTS21	ADAMTS18	ADAMTS21	Homo sapiens (Human)	9606	1221
O95450	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	ADAMTS2 PCINP PCPNI	ADAMTS2	PCINP PCPNI	Homo sapiens (Human)	9606	1211
Q86TH1	reviewed	ADAMTS-like protein 2 (ADAMTSL-2)	ADAMTSL2 KIAA0605	ADAMTSL2	KIAA0605	Homo sapiens (Human)	9606	951
Q6UY14	reviewed	ADAMTS-like protein 4 (ADAMTSL-4) (Thrombospondin repeat-containing protein 1)	ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012	ADAMTSL4	TSRC1	Homo sapiens (Human)	9606	1074
P55265	reviewed	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	ADAR	ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	9606	1226
Q08828	reviewed	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1	ADCY1		Homo sapiens (Human)	9606	1119
Q96PN6	reviewed	Adenylate cyclase type 10 (EC 4.6.1.1) (AH-related protein) (Adenylate cyclase homolog) (Germ cell soluble adenylyl cyclase) (hsAC) (sAC) (Testicular soluble adenylyl cyclase)	ADCY10 SAC	ADCY10	SAC	Homo sapiens (Human)	9606	1610
O95622	reviewed	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5)	ADCY5	ADCY5		Homo sapiens (Human)	9606	1261
O43306	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)	ADCY6 KIAA0422	ADCY6	KIAA0422	Homo sapiens (Human)	9606	1168
Q9UEY8	reviewed	Gamma-adducin (Adducin-like protein 70)	ADD3 ADDL	ADD3	ADDL	Homo sapiens (Human)	9606	706
Q9Y653	reviewed	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083	ADGRG1	GPR56 TM7LN4 TM7XN1	Homo sapiens (Human)	9606	693
Q8IZP9	reviewed	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6)	ADGRG2 GPR64 HE6 TM7LN2	ADGRG2	GPR64 HE6 TM7LN2	Homo sapiens (Human)	9606	1017
Q86SQ4	reviewed	Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]	ADGRG6 DREG GPR126 VIGR	ADGRG6	DREG GPR126 VIGR	Homo sapiens (Human)	9606	1221
Q8WXG9	reviewed	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	ADGRV1	GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	Homo sapiens (Human)	9606	6306
Q15848	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	ADIPOQ ACDC ACRP30 APM1 GBP28	ADIPOQ	ACDC ACRP30 APM1 GBP28	Homo sapiens (Human)	9606	244
P55263	reviewed	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK	ADK		Homo sapiens (Human)	9606	362
Q9H2P0	reviewed	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)	ADNP ADNP1 KIAA0784	ADNP	ADNP1 KIAA0784	Homo sapiens (Human)	9606	1102
P30566	reviewed	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL AMPS	ADSL	AMPS	Homo sapiens (Human)	9606	484
Q8N142	reviewed	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (IMP--aspartate ligase 1)	ADSSL1 ADSS1	ADSSL1	ADSS1	Homo sapiens (Human)	9606	457
P55196	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	AFDN AF6 MLLT4	AFDN	AF6 MLLT4	Homo sapiens (Human)	9606	1824
P51825	reviewed	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	AFF1 AF4 FEL MLLT2 PBM1	AFF1	AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	9606	1210
P51816	reviewed	AF4/FMR2 family member 2 (Fragile X E mental retardation syndrome protein) (Fragile X mental retardation 2 protein) (FMR2P) (Protein FMR-2) (Protein Ox19)	AFF2 FMR2 OX19	AFF2	FMR2 OX19	Homo sapiens (Human)	9606	1311
Q9UHB7	reviewed	AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)	AFF4 AF5Q31 MCEF HSPC092	AFF4	AF5Q31 MCEF	Homo sapiens (Human)	9606	1163
Q9Y4W6	reviewed	AFG3-like protein 2 (EC 3.4.24.-) (Paraplegin-like protein)	AFG3L2	AFG3L2		Homo sapiens (Human)	9606	797
P02771	reviewed	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	AFP HPAFP	AFP	HPAFP	Homo sapiens (Human)	9606	609
P20933	reviewed	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain]	AGA	AGA		Homo sapiens (Human)	9606	346
Q96MI9	reviewed	Cytosolic carboxypeptidase 4 (EC 3.4.17.-) (ATP/GTP-binding protein-like 1)	AGBL1 CCP4	AGBL1	CCP4	Homo sapiens (Human)	9606	1066
Q8NDL9	reviewed	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (ATP/GTP-binding protein-like 5)	AGBL5 CCP5	AGBL5	CCP5	Homo sapiens (Human)	9606	886
Q8N302	reviewed	Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (hVG5Q) (G patch domain-containing protein 7) (Vasculogenesis gene on 5q protein)	AGGF1 GPATC7 GPATCH7 VG5Q	AGGF1	GPATC7 GPATCH7 VG5Q	Homo sapiens (Human)	9606	714
Q53H12	reviewed	Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)	AGK MULK	AGK	MULK	Homo sapiens (Human)	9606	422
P35573	reviewed	Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]	AGL GDE	AGL	GDE	Homo sapiens (Human)	9606	1532
O15120	reviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)	AGPAT2	AGPAT2		Homo sapiens (Human)	9606	278
O00116	reviewed	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	AGPS AAG5	AGPS		Homo sapiens (Human)	9606	658
O00468	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	AGRN	AGRIN	Homo sapiens (Human)	9606	2068
O00253	reviewed	Agouti-related protein	AGRP AGRT ART	AGRP	AGRT ART	Homo sapiens (Human)	9606	132
P01019	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT SERPINA8	AGT	SERPINA8	Homo sapiens (Human)	9606	485
