Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
Q9UKU0	reviewed	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6)	ACSL6 ACS2 FACL6 KIAA0837 LACS5	ACSL6	ACS2 FACL6 KIAA0837 LACS5	Homo sapiens (Human)	9606	697
P35609	reviewed	Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein)	ACTN2	ACTN2		Homo sapiens (Human)	9606	894
Q04771	reviewed	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	ACVR1	ACVRLK2	Homo sapiens (Human)	9606	509
P36896	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	ACVR1B	ACVRLK4 ALK4	Homo sapiens (Human)	9606	505
Q13705	reviewed	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	ACVR2B		Homo sapiens (Human)	9606	512
P37023	reviewed	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	ACVRL1	ACVRLK1 ALK1	Homo sapiens (Human)	9606	503
Q03154	reviewed	Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)	ACY1	ACY1		Homo sapiens (Human)	9606	408
O14672	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	ADAM10	KUZ MADM	Homo sapiens (Human)	9606	748
P78536	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	ADAM17 CSVP TACE	ADAM17	CSVP TACE	Homo sapiens (Human)	9606	824
Q76LX8	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease)	ADAMTS13 C9orf8 UNQ6102/PRO20085	ADAMTS13	C9orf8	Homo sapiens (Human)	9606	1427
O95450	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	ADAMTS2 PCINP PCPNI	ADAMTS2	PCINP PCPNI	Homo sapiens (Human)	9606	1211
P55265	reviewed	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	ADAR	ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	9606	1226
Q08828	reviewed	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1	ADCY1		Homo sapiens (Human)	9606	1119
Q96PN6	reviewed	Adenylate cyclase type 10 (EC 4.6.1.1) (AH-related protein) (Adenylate cyclase homolog) (Germ cell soluble adenylyl cyclase) (hsAC) (sAC) (Testicular soluble adenylyl cyclase)	ADCY10 SAC	ADCY10	SAC	Homo sapiens (Human)	9606	1610
O95622	reviewed	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5)	ADCY5	ADCY5		Homo sapiens (Human)	9606	1261
O43306	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)	ADCY6 KIAA0422	ADCY6	KIAA0422	Homo sapiens (Human)	9606	1168
Q9Y653	reviewed	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083	ADGRG1	GPR56 TM7LN4 TM7XN1	Homo sapiens (Human)	9606	693
Q8IZP9	reviewed	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6)	ADGRG2 GPR64 HE6 TM7LN2	ADGRG2	GPR64 HE6 TM7LN2	Homo sapiens (Human)	9606	1017
Q86SQ4	reviewed	Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]	ADGRG6 DREG GPR126 VIGR	ADGRG6	DREG GPR126 VIGR	Homo sapiens (Human)	9606	1221
Q8WXG9	reviewed	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	ADGRV1	GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	Homo sapiens (Human)	9606	6306
P30566	reviewed	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	ADSL AMPS	ADSL	AMPS	Homo sapiens (Human)	9606	484
Q8N142	reviewed	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (IMP--aspartate ligase 1)	ADSSL1 ADSS1	ADSSL1	ADSS1	Homo sapiens (Human)	9606	457
Q9Y4W6	reviewed	AFG3-like protein 2 (EC 3.4.24.-) (Paraplegin-like protein)	AFG3L2	AFG3L2		Homo sapiens (Human)	9606	797
P20933	reviewed	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain]	AGA	AGA		Homo sapiens (Human)	9606	346
Q96MI9	reviewed	Cytosolic carboxypeptidase 4 (EC 3.4.17.-) (ATP/GTP-binding protein-like 1)	AGBL1 CCP4	AGBL1	CCP4	Homo sapiens (Human)	9606	1066
Q8NDL9	reviewed	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (ATP/GTP-binding protein-like 5)	AGBL5 CCP5	AGBL5	CCP5	Homo sapiens (Human)	9606	886
Q53H12	reviewed	Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)	AGK MULK	AGK	MULK	Homo sapiens (Human)	9606	422
P35573	reviewed	Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]	AGL GDE	AGL	GDE	Homo sapiens (Human)	9606	1532
O15120	reviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)	AGPAT2	AGPAT2		Homo sapiens (Human)	9606	278
O00116	reviewed	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	AGPS AAG5	AGPS		Homo sapiens (Human)	9606	658
P21549	reviewed	Serine--pyruvate aminotransferase (SPT) (EC 2.6.1.51) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44)	AGXT AGT1 SPAT	AGXT	AGT1 SPAT	Homo sapiens (Human)	9606	392
P23526	reviewed	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	AHCY	SAHH	Homo sapiens (Human)	9606	432
Q9GZX7	reviewed	Single-stranded DNA cytosine deaminase (EC 3.5.4.38) (Activation-induced cytidine deaminase) (AID) (Cytidine aminohydrolase)	AICDA AID	AICDA	AID	Homo sapiens (Human)	9606	198
P00568	reviewed	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	AK1	AK1		Homo sapiens (Human)	9606	194
P54819	reviewed	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]	AK2 ADK2	AK2	ADK2	Homo sapiens (Human)	9606	239
P17516	reviewed	Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (3-alpha-HSD1) (3-alpha-hydroxysteroid dehydrogenase type I) (EC 1.1.1.357) (Chlordecone reductase) (CDR) (EC 1.1.1.225) (Dihydrodiol dehydrogenase 4) (DD-4) (DD4) (HAKRA)	AKR1C4 CHDR	AKR1C4	CHDR	Homo sapiens (Human)	9606	323
P31749	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	AKT1	PKB RAC	Homo sapiens (Human)	9606	480
P31751	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	AKT2		Homo sapiens (Human)	9606	481
Q9Y243	reviewed	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	AKT3	PKBG	Homo sapiens (Human)	9606	479
P22557	reviewed	5-aminolevulinate synthase, erythroid-specific, mitochondrial (ALAS-E) (EC 2.3.1.37) (5-aminolevulinic acid synthase 2) (Delta-ALA synthase 2) (Delta-aminolevulinate synthase 2)	ALAS2 ALASE ASB	ALAS2	ALASE ASB	Homo sapiens (Human)	9606	587
P54886	reviewed	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS	ALDH18A1	GSAS P5CS PYCS	Homo sapiens (Human)	9606	795
P47895	reviewed	Aldehyde dehydrogenase family 1 member A3 (EC 1.2.1.5) (Aldehyde dehydrogenase 6) (Retinaldehyde dehydrogenase 3) (RALDH-3) (RalDH3)	ALDH1A3 ALDH6	ALDH1A3	ALDH6	Homo sapiens (Human)	9606	512
P51648	reviewed	Fatty aldehyde dehydrogenase (EC 1.2.1.3) (Aldehyde dehydrogenase 10) (Aldehyde dehydrogenase family 3 member A2) (Microsomal aldehyde dehydrogenase)	ALDH3A2 ALDH10 FALDH	ALDH3A2	ALDH10 FALDH	Homo sapiens (Human)	9606	485
P30038	reviewed	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)	ALDH4A1 ALDH4 P5CDH	ALDH4A1	ALDH4 P5CDH	Homo sapiens (Human)	9606	563
P51649	reviewed	Succinate-semialdehyde dehydrogenase, mitochondrial (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)	ALDH5A1 SSADH	ALDH5A1	SSADH	Homo sapiens (Human)	9606	535
Q02252	reviewed	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)	ALDH6A1 MMSDH	ALDH6A1	MMSDH	Homo sapiens (Human)	9606	535
P49419	reviewed	Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase)	ALDH7A1 ATQ1	ALDH7A1	ATQ1	Homo sapiens (Human)	9606	539
P04075	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	ALDOA	ALDA	Homo sapiens (Human)	9606	364
P05062	reviewed	Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase)	ALDOB ALDB	ALDOB	ALDB	Homo sapiens (Human)	9606	364
Q9BT22	reviewed	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1)	ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870	ALG1	HMAT1 HMT1	Homo sapiens (Human)	9606	464
Q2TAA5	reviewed	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Asparagine-linked glycosylation protein 11 homolog) (Glycolipid 2-alpha-mannosyltransferase)	ALG11 GT8	ALG11	GT8	Homo sapiens (Human)	9606	492
Q9BV10	reviewed	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12 homolog) (hALG12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Mannosyltransferase ALG12 homolog) (Membrane protein SB87)	ALG12 PP14673	ALG12		Homo sapiens (Human)	9606	488
Q9NP73	reviewed	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (EC 2.4.1.141) (EC 3.4.19.12) (Asparagine-linked glycosylation 13 homolog) (Glycosyltransferase 28 domain-containing protein 1) (UDP-N-acetylglucosamine transferase subunit ALG13 homolog)	ALG13 CXorf45 GLT28D1 MDS031	ALG13	CXorf45 GLT28D1	Homo sapiens (Human)	9606	1137
O75340	reviewed	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	PDCD6 ALG2	PDCD6	ALG2	Homo sapiens (Human)	9606	191
Q9H553	reviewed	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2 UNQ666/PRO1298	ALG2		Homo sapiens (Human)	9606	416
Q92685	reviewed	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (EC 2.4.1.258) (Asparagine-linked glycosylation protein 3 homolog) (Dol-P-Man-dependent alpha(1-3)-mannosyltransferase) (Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase) (Dolichyl-phosphate-mannose--glycolipid alpha-mannosyltransferase) (Not56-like protein)	ALG3 NOT NOT56L	ALG3	NOT NOT56L	Homo sapiens (Human)	9606	438
Q9Y672	reviewed	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG6 My046	ALG6		Homo sapiens (Human)	9606	507
Q9BVK2	reviewed	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	ALG8 HUSSY-02	ALG8		Homo sapiens (Human)	9606	526
Q9H6U8	reviewed	Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9 homolog) (Disrupted in bipolar disorder protein 1) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)	ALG9 DIBD1	ALG9	DIBD1	Homo sapiens (Human)	9606	611
P18054	reviewed	Arachidonate 12-lipoxygenase, 12S-type (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12)	ALOX12 12LO LOG12	ALOX12	12LO LOG12	Homo sapiens (Human)	9606	663
P16050	reviewed	Arachidonate 15-lipoxygenase (15-LOX) (15-LOX-1) (EC 1.13.11.33) (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (EC 1.13.11.31) (Arachidonate omega-6 lipoxygenase)	ALOX15 LOG15	ALOX15	LOG15	Homo sapiens (Human)	9606	662
