#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c9-Potency_&#956;M","p450-cyp2c9-Curve_Description","p450-cyp2c9-Fit_LogAC50","p450-cyp2c9-Fit_HillSlope","p450-cyp2c9-Fit_R2","p450-cyp2c9-Fit_InfiniteActivity_%","p450-cyp2c9-Fit_ZeroActivity_%","p450-cyp2c9-Fit_CurveClass","p450-cyp2c9-Excluded_Points","p450-cyp2c9-Max_Response","p450-cyp2c9-Activity at 0.0007 uM_%","p450-cyp2c9-Activity at 0.00160 uM_%","p450-cyp2c9-Activity at 0.00368 uM_%","p450-cyp2c9-Activity at 0.00820 uM_%","p450-cyp2c9-Activity at 0.018 uM_%","p450-cyp2c9-Activity at 0.041 uM_%","p450-cyp2c9-Activity at 0.091 uM_%","p450-cyp2c9-Activity at 0.204 uM_%","p450-cyp2c9-Activity at 0.457 uM_%","p450-cyp2c9-Activity at 1.022 uM_%","p450-cyp2c9-Activity at 2.286 uM_%","p450-cyp2c9-Activity at 5.111 uM_%","p450-cyp2c9-Activity at 11.43 uM_%","p450-cyp2c9-Activity at 25.56 uM_%","p450-cyp2c9-Activity at 57.14 uM_%"
34,26751405,16758792,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,11.55,-1.539,,3.759,,-6.212,,-16,,2.221,,-5.473,,11.55,,
35,26751404,16758790,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.128,3.283,,11.87,,-10.05,,1.256,,16.22,,12.07,,-2.128,,
36,26751403,16758791,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,18.98,-9.472,,-8.969,,-13.78,,5.272,,3.54,,7.61,,18.98,,
37,26751401,16758789,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.078,0.4838,,22.68,,9.149,,-11.02,,22.24,,4.328,,5.078,,
38,26751400,16758788,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-15.79,-4.017,,-0.3513,,-1.261,,2.034,,3.811,,-5.99,,-15.79,,
39,26751399,16758787,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.808,-6.04,,-11.82,,-4.475,,-11.85,,-0.3286,,-3.738,,4.808,,
40,26751398,16758786,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.839,-3.733,,-0.024,,-10.9,,2.092,,8.686,,4.823,,3.839,,
41,26751397,16758785,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-6.911,-3.653,,31.69,,-11.91,,25.78,,-2.588,,5.911,,-6.911,,
42,26751396,16758784,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.69,-2.495,,-4.309,,-11.69,,2.043,,15.93,,51.9,,5.69,,
43,26751395,16758783,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.18,-10.8,,2.682,,-12.24,,3.065,,9.938,,-8.42,,10.18,,
44,26751394,16758782,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.877,-22.2,,-2.118,,-10.84,,20.1,,0.7447,,-11.02,,4.877,,
45,26751393,16758781,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.691,9.248,,-8.523,,4.49,,1.434,,12.67,,6.082,,4.691,,
46,26751392,16758780,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-1.175,4.322,,4.131,,-11.01,,10.87,,16.1,,2.08,,-1.175,,
47,26751391,16758779,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.992,-14.73,,4.237,,4.349,,-8.839,,13.08,,-16.53,,4.992,,
48,26751389,16758777,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.905,-6.521,,23.35,,-14.36,,16.41,,17.68,,4.74,,-2.905,,
49,26751386,16758774,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.501,-15.66,,-10.21,,4.7,,-13.41,,2.574,,0.8298,,-4.501,,
50,26751385,16758773,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.276,-4.879,,-1.491,,-11.48,,-2.005,,-0.8191,,-0.7063,,4.276,,
51,26751384,16758772,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.875,-4.514,,6.77,,-7.397,,-0.839,,0.5132,,-10.21,,-2.875,,
52,26751383,16758771,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-1.237,7.151,,0.5616,,3.699,,5.772,,0.588,,-7.504,,-1.237,,
53,26751382,16758770,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,8.05,-7.254,,-3.205,,17.58,,-5.932,,16.53,,-0.9419,,8.05,,
54,26751381,16758769,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.793,-1.516,,-15.69,,15.29,,21.26,,20.61,,-0.9582,,7.793,,
55,26751380,16758768,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.971,-7.175,,-8.859,,-3.036,,5.41,,4.581,,5.981,,4.971,,
56,26751378,16758766,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,28.93,-2.197,,-14.03,,4.687,,-11.32,,18.43,,8.485,,28.93,,
57,26751377,16758765,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-21.94,8.424,,5.835,,6.915,,7.454,,8.746,,13.64,,-21.94,,
58,26751376,16758764,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,29.57,12.97,,7.149,,3.925,,11.33,,14.05,,-6.14,,29.57,,
59,26751375,16758763,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.866,8.008,,6.271,,-15.46,,-18.44,,-22.62,,-12.88,,6.866,,
60,26751373,16758761,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,25.15,6.371,,-21.47,,15.25,,-6.527,,18.48,,-7.695,,25.15,,
61,26751372,16758760,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,19.45,-2.009,,-17.54,,12.07,,-16.9,,5.687,,27.72,,19.45,,
62,26751371,16758759,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.031,27.22,,-20.18,,17.38,,-9.728,,-6.255,,-0.3853,,-4.031,,
63,26751370,16758758,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.911,15.73,,-22.9,,9.335,,9.157,,10.78,,25.39,,-4.911,,
64,26751369,16758757,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,9.772,12.21,,-3.612,,2.04,,1.18,,2.811,,12.69,,9.772,,
65,26751368,16758756,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.1792,13.83,,-10.42,,-5.748,,-6.497,,20.77,,-1.005,,0.1792,,
66,26751367,16758755,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,19.99,-2.545,,-9.922,,12.06,,-0.9777,,10.72,,19.8,,19.99,,
67,26751366,16758754,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,28.28,-11.16,,-19.99,,28.7,,-9.266,,-9.551,,-7.041,,28.28,,
68,26751363,16758751,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.976,-7.348,,-8.193,,1.591,,-9.859,,-5.426,,-0.1821,,4.976,,
69,26751362,16758750,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-10.29,-0.5657,,14.07,,-3.858,,7.007,,10.47,,10.91,,-10.29,,
70,26751361,16758749,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-16.33,0.4934,,-0.6023,,3.593,,-5.962,,2.101,,5.283,,-16.33,,
71,26751360,16758748,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-9.957,15.75,,-3.374,,21.88,,15.59,,12.66,,11.42,,-9.957,,
72,26751359,16758747,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-14.98,-1.744,,-3.389,,3.725,,2.617,,0.8448,,-7.383,,-14.98,,
73,26751358,16758746,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.912,0.8987,,-8.66,,4.053,,7.298,,9.772,,10.2,,-8.912,,
74,26751357,16758745,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.033,-6.446,,0.5274,,-1.573,,11.66,,0.0736,,10.81,,4.033,,
75,26751356,16758744,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-10.59,-9.136,,17.13,,0.5675,,3.185,,7.769,,3.086,,-10.59,,
76,26751355,16758743,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,23.13,-7.967,,0.6785,,6.535,,19.42,,7.76,,-2.301,,23.13,,
77,26751354,16758742,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-10.19,-0.126,,11.77,,-2.073,,4.327,,20.14,,-2.602,,-10.19,,
78,26751353,16758741,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-10.06,-9.967,,-7.667,,-21.36,,5.711,,6.551,,22.95,,-10.06,,
79,26751352,16758740,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,8.471,5.993,,46.85,,-7.83,,28.37,,9.109,,-3.556,,8.471,,
80,26751351,16758739,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,1.569,6.328,,-5.553,,-19.37,,0.3232,,6.717,,-4.283,,1.569,,
81,26751350,16758738,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.172,-23.92,,-12.4,,10.96,,-5.525,,-2.293,,-3.43,,3.172,,
82,26751349,16758737,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.226,-18.6,,-3.908,,-12.61,,-15.02,,-16.55,,-0.3741,,-8.226,,
83,26751348,16758736,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-3.022,-15.39,,-13.04,,-15.43,,3.236,,-11.94,,-20.31,,-3.022,,
84,26751347,16758735,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.523,-20.82,,-10.75,,-12,,0.5958,,13.93,,-11.72,,7.523,,
85,26751346,16758734,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,9.417,-9.971,,0.2458,,-7.403,,-8.18,,1.466,,-17.25,,9.417,,
86,26751345,16758733,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.592,-7.402,,-3.056,,-13.7,,-8.008,,4.095,,-8.057,,-7.592,,
87,26751344,16758732,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-6.773,5.276,,-1.595,,-2.096,,-5.281,,9.005,,-6.618,,-6.773,,
88,26751343,16758731,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.516,-0.9283,,-10.33,,-6.813,,-11.82,,-7.134,,-16.57,,-8.516,,
89,26751342,16758730,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,23.12,5.035,,-13.56,,19.6,,-6.246,,-3.141,,-5.189,,23.12,,
90,26751341,16758729,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.106,8.463,,-11.42,,9.236,,-13.16,,-8.299,,6.24,,6.106,,
91,26751340,16758728,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.92,2.871,,-6.474,,-16.7,,2.749,,-0.405,,-7.707,,-5.92,,
92,26751339,16758727,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-12.62,12.61,,-0.9993,,15.88,,-0.6385,,-3.59,,-2.288,,-12.62,,
93,26751338,16758726,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.9375,6.474,,4.607,,5.375,,9.138,,0.7208,,-8.349,,0.9375,,
94,26751336,16758724,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,29.24,0.6368,,-5.404,,-6.827,,-11.79,,12.94,,1.375,,29.24,,
95,26751335,16758723,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.522,4.413,,4.588,,26.35,,-2.38,,12.83,,-5.464,,-5.522,,
96,26751334,16758722,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.143,19.3,,-16.12,,8.999,,0.8399,,34.22,,-9.333,,6.143,,
97,26751333,16758721,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-12.14,2.942,,7.027,,23.94,,-7.923,,-20.36,,0.5241,,-12.14,,
98,26751332,16758720,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-19.61,0.4498,,-0.9704,,19.15,,2.351,,12.97,,8.964,,-19.61,,
99,26751331,16758719,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-9.909,-3.398,,-1.126,,0.0645,,-4.352,,3.628,,13.36,,-9.909,,
100,26751330,16758718,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-14.01,5.989,,5.861,,9.159,,13.9,,18.1,,-6.01,,-14.01,,
101,26751329,16758717,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.514,-4.862,,0.5203,,0.1318,,-2.204,,-4.306,,16.68,,5.514,,
102,26751328,16758716,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,13.93,-0.3681,,8.581,,-12.98,,-0.9681,,-7.38,,12.92,,13.93,,
103,26751327,16758715,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.154,-5.469,,0.2471,,14.79,,-0.7312,,1.259,,2.759,,6.154,,
104,26751326,16758714,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.0467,-7.972,,-7.714,,-10.34,,-15.51,,1.513,,-1.635,,0.0467,,
105,26751325,16758713,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.03,-5.856,,-6.069,,6.912,,10.72,,30.75,,6.484,,10.03,,
106,26751324,16758712,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.269,14.08,,-7.218,,-14.01,,-10.02,,6.482,,10.52,,-5.269,,
107,26751323,16758711,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,2.979,-6.637,,-14.73,,-22.73,,19.58,,-11.08,,-12.88,,2.979,,
108,26751322,16758710,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.775,-0.1657,,-4.465,,-16.06,,-5.701,,11.84,,1.288,,7.775,,
109,26751321,16758709,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.94,5.326,,0.5643,,-3.25,,-3.321,,3.201,,8.09,,10.94,,
110,26751320,16758708,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.473,5.068,,-8.747,,0.5524,,14.65,,29.49,,28.23,,-4.473,,
111,26751319,16758707,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,2.661,5.796,,-6.637,,0.4084,,-4.155,,37.42,,1.096,,2.661,,
112,26751318,16758706,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,15.98,4.47,,-6.382,,-12.07,,-9.31,,12.7,,8.118,,15.98,,
113,26751317,16758705,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,20.62,-7.353,,2.862,,-3.945,,1.066,,6.703,,0.8615,,20.62,,
114,26751316,16758704,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-0.3878,-8.301,,-8.04,,-16.39,,-17.19,,-5.057,,-5.785,,-0.3878,,
115,26751315,16758703,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.749,-16.75,,6.875,,-0.0179,,2.607,,13.83,,21.12,,7.749,,
116,26751314,16758702,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-14.08,-2.249,,-5.511,,-18.45,,-14.83,,1.86,,4.434,,-14.08,,
117,26751313,16758701,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,22.97,9.451,,1.803,,7.069,,2.233,,-0.0682,,0.0996,,22.97,,
118,26751312,16758700,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-1.74,-3.654,,-5.869,,1.789,,13.11,,7.491,,-3.539,,-1.74,,
119,26751311,16758699,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.815,21.5,,15.71,,11.75,,20.47,,-3.982,,25,,-7.815,,
120,26751310,16758698,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,16.73,-1.013,,1.204,,-11.89,,0.1008,,15.02,,1.126,,16.73,,
121,26751309,16758697,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,21.12,-14.42,,-0.5592,,-8.62,,-7.058,,-0.3583,,8.408,,21.12,,
122,26751308,16758696,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.497,-11.27,,-3.571,,-11.75,,-6.772,,4.893,,14.04,,7.497,,
123,26751307,16758695,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-1.604,-3.503,,0.0982,,-3.011,,-2.112,,1.086,,-6.505,,-1.604,,
124,26751306,16758694,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.38,5.451,,-8.877,,-21.48,,-15.1,,-7.443,,1.373,,10.38,,
125,26751305,16758693,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,12.76,18.33,,-4.343,,10.28,,-0.3036,,10.94,,-7.614,,12.76,,
126,26751304,16758692,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.334,-7.011,,14.72,,-12.59,,10.05,,19.54,,11.22,,3.334,,
127,26751303,16758691,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,9.483,0.6802,,-1.912,,8.733,,4.45,,28.54,,-14.18,,9.483,,
128,26751302,16758690,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-3.127,4.971,,3.459,,-4.445,,-8.046,,-3.383,,-4.087,,-3.127,,
129,26751301,16758689,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,16.27,6.237,,7.388,,14.7,,-3.338,,-6.097,,3.997,,16.27,,
130,26751299,16758687,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-19.19,23.25,,4.396,,15.6,,-1.463,,2.245,,-12.1,,-19.19,,
131,26751298,16758686,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,20.53,13.73,,-20.69,,0.8978,,-0.8699,,14.72,,-7.923,,20.53,,
132,26751297,16758685,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,2.803,6.947,,9.21,,0.6945,,5.792,,9.065,,1.494,,2.803,,
133,26751296,16758684,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-23.82,4.403,,0.7766,,4.452,,-21.76,,11.53,,-7.19,,-23.82,,
134,26751295,16758683,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-27,-0.4665,,-1.289,,7.917,,19.67,,22.49,,-16.72,,-27,,
135,26751294,16758682,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-15.71,-5.246,,-6.698,,-4.081,,-3.988,,0.0645,,-12.82,,-15.71,,
136,26751293,16758681,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-23.44,6.773,,1.836,,5.162,,-5.012,,-5.737,,-6.921,,-23.44,,
137,26751292,16758680,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.546,-13.96,,-17.17,,-18.6,,-22.98,,-9.272,,-18.03,,-5.546,,
