Index	GeneSym	GeneID/GeneID
279	MRFAP1L1	114932
280	PGBD4	161779
281	SCAND2P	54581
282	RPL26L1	51121
283	ZNF599	148103
284	ZNF419	79744
285	ZNF773	374928
286	ZNF568	374900
287	ZNF585B	92285
288	ZNF586	54807
289	COG7	91949
290	COX6B1	1340
291	ZNF223	7766
292	ZNF234	10780
293	TRIM4	89122
294	ZNF431	170959
295	BCL2L2	599
296	PIGO	84720
297	MRPL18	29074
298	ZNF708	7562
299	TDP1	55775
300	CHRNB2	1141
301	CCDC157	550631
302	LRWD1	222229
303	MIEF2	125170
304	NABP2	79035
305	CARD9	64170
306	RUSC1	23623
307	MYH7B	57644
308	NUDT17	200035
309	DPH1	1801
310	MRPS15	64960
311	EHD3	30845
312	IPO8	10526
313	LUZP6	767558
314	METTL2B	55798
315	ACE2	59272
316	FPR3	2359
317	OR52A1	23538
318	ADAM21P1	145241
319	MIR519A2	574500
320	SNORA79	677845
321	GOLGA8CP	729786
322	C2ORF66	401027
323	RGPD3	653489
324	KIAA0125	9834
325	BRWD3	254065
326	FAM122C	159091
327	CCL18	6362
328	IFNW1	3467
329	FNDC9	408263
330	HIGD1C	613227
331	CDY1	9085
332	DKFZP434L187	26082
333	LINC00032	158035
334	LINC00092	100188953
335	LOC494141	494141
336	MIR548D1	693130
337	SNORD103A	692234
338	ULK4P3	89837
339	LOC100130691	100130691
340	MIR187	406963
341	MIR200B	406984
342	SIRPD	128646
343	RTP5	285093
344	SNORA7B	677797
345	EMR1	2015
346	OR6N2	81442
347	FLJ34503	285759
348	LINC00200	399706
349	PFN1P2	767846
350	LOC493754	493754
351	MIR133A2	406923
352	MIR609	693194
353	SCARNA1	677774
354	TSPY4	728395
355	TTTY18	252950
356	ZNF829	374899
357	TMEM8C	389827
358	TUBAL3	79861
359	MIR202	574448
360	ALDH8A1	64577
361	NDST3	9348
362	OR2T8	343172
363	OR2W3	343171
364	ANKEF1	63926
365	RGS13	6003
366	HRH4	59340
367	INSL6	11172
368	NDUFAF6	137682
369	NOXRED1	122945
370	TRIM48	79097
371	PLET1	349633
372	AP1M2	10053
373	SLAMF7	57823
374	CD226	10666
375	TNK1	8711
376	C1S	716
377	CHST5	23563
378	MPZL2	10205
379	FXYD5	53827
380	PTTG1	9232
381	LYN	4067
382	PPP1R13B	23368
383	RNF24	11237
384	SPA17	53340
385	CD40	958
386	PTCRA	171558
387	ERICH6	131831
388	ZP4	57829
389	FAM89A	375061
390	C20ORF194	25943
391	SCN9A	6335
392	MSMB	4477
393	RIC1	57589
394	CD276	80381
395	GPRIN2	9721
396	ZNF683	257101
397	PGLYRP4	57115
398	IYD	389434
399	SLC38A8	146167
400	NPY4R	5540
401	XPR1	9213
402	EFHC2	80258
403	MUC2	4583
404	ZNF33B	7582
405	SLC6A12	6539
406	TEPP	374739
407	DOCK10	55619
408	ICOS	29851
409	GADL1	339896
410	INTU	27152
411	NLGN1	22871
412	FAM212A	389119
413	TRAF5	7188
414	ACKR1	2532
415	CMTM5	116173
416	ITM2A	9452
417	NYX	60506
418	S100A6	6277
419	AGAP7P	653268
420	C11orf42	160298
421	CST4	1472
422	DHRS4-AS1	55449
423	FLJ13224	79857
424	HTR7P1	93164
425	LINC00028	140875
426	LINC00116	205251
427	LOC143666	143666
428	LOC400965	400965
429	MIR325	442899
430	MIR361	494323
431	MIR658	724028
432	SNORA73A	6080
433	VSIG10L	147645
434	PCDHB9	56127
435	MIR1306	100302197
436	LOC285847	285847
437	LINC00471	151477
438	RPL29P2	118432
439	MIR10A	406902
440	MIR424	494336
441	CTBP1-AS2	92070
442	DEFB126	81623
443	LOC284661	284661
444	MIR153-2	406945
445	SUPT20HL2	170067
446	ZDHHC8P1	150244
447	RPS2P32	256355
448	MAGEA8	4107
449	GPR148	344561
450	C2ORF49	79074
451	TMEM187	8269
452	TRPM5	29850
453	C3orf83	100129480
454	LOC399900	399900
455	PATE1	160065
456	LCN15	389812
457	HIST3H3	8290
458	DNAJC5G	285126
459	C9ORF139	401563
460	RBMXL1	494115
461	CYP11B2	1585
462	MYL3	4634
463	CD5L	922
464	COL6A4P1	344875
465	LOC391322	391322
466	RPL13AP5	728658
467	FAM107A	11170
468	LOC344967	344967
469	IL17A	3605
470	KRTAP5-2	440021
471	LIPM	340654
472	MIR140	406932
473	NCR3LG1	374383
474	CAPN6	827
475	RCVRN	5957
476	OR7G1	125962
477	OR52D1	390066
478	SLC36A3	285641
479	ANKAR	150709
480	IFT22	64792
481	FAM199X	139231
482	B3GALT1	8708
483	RXFP1	59350
484	GFRAL	389400
485	OR10W1	81341
486	SLC27A6	28965
487	ANKRD23	200539
488	C20ORF144	128864
489	GDPD3	79153
490	GEMIN5	25929
491	LPPR2	64748
492	NBPF14	25832
493	COL6A3	1293
494	TMEM189-UBE2V1	387522
495	DHTKD1	55526
496	MBD3L1	85509
497	ALPK2	115701
498	FAM222A	84915
499	ZNRF3	84133
500	XRRA1	143570
501	C1ORF53	388722
502	SERPINA7	6906
503	DIAPH2	1730
504	SETMAR	6419
505	MX2	4600
506	C15ORF53	400359
507	WDR44	54521
508	LINC00242	401288
509	LINC00574	80069
510	CHM	1121
511	DNAH17	8632
512	HCCS	3052
513	IDNK	414328
514	YIPF6	286451
515	TMCO5A	145942
516	A1BG	1
517	CCDC68	80323
518	MC2R	4158
519	CPA6	57094
520	KCNA10	3744
521	SIAH3	283514
522	BHMT	635
523	TMEM182	130827
524	TTR	7276
525	CACNG5	27091
526	CAPNS2	84290
527	MIR3120	100422882
528	MIR32	407036
529	PRG4	10216
530	DYNLRB2	83657
531	MYOT	9499
532	OPN5	221391
533	FMO9P	116123
534	GPR116	221395
535	BTG3	10950
536	HSD17B3	3293
537	NPFFR2	10886
538	MIR761	100313892
539	WISP3	8838
540	DEAR	102191832
541	RPS4Y2	140032
542	MIR218-1	407000
543	MIR331	442903
544	MIR551B	693136
545	MIR876	100126310
546	EFCAB10	100130771
547	KRTAP7-1	337878
548	MIR124-2	406908
549	MIR138-1	406929
550	MIR592	693177
551	MIR9-2	407047
552	GBA3	57733
553	TRIML2	205860
554	MCOLN3	55283
555	HTR2B	3357
556	YIPF7	285525
557	GRXCR2	643226
558	MIR568	693153
559	DPY19L1	23333
560	LRRN3	54674
561	MIR190A	406965
562	MIRLET7I	406891
563	PABPC3	5042
564	CHAC2	494143
565	OXGR1	27199
566	TPRG1	285386
567	FAM19A4	151647
568	GPR151	134391
569	GZMK	3003
570	NEIL3	55247
571	APOA5	116519
572	LRRC66	339977
573	MIR99A	407055
574	MIR511	574445
575	MIR3591	100616357
576	MIR875	100126309
577	ASB14	142686
578	SPIN2A	54466
579	ABCA10	10349
580	PSKH2	85481
581	CRISP3	10321
582	GCG	2641
583	RRH	10692
584	FCRL5	83416
585	MAGEA4	4103
586	ADCY10	55811
587	INPP1	3628
588	CAMSAP2	23271
589	BBX	56987
590	FABP4	2167
591	DCAF6	55827
592	ENPP5	59084
593	FGF7	2252
594	ACVR1C	130399
595	CNTN4	152330
596	GPR37	2861
597	KHDRBS2	202559
598	KLHL1	57626
599	NEUROD6	63974
600	TMEM196	256130
601	CLVS2	134829
602	PLSCR4	57088
603	TRPC6	7225
604	GABRA4	2557
605	GABRB1	2560
606	PCSK1	5122
607	PPP1R14C	81706
608	TRHDE	29953
609	CCDC67	159989
610	GLRB	2743
611	HTR1F	3355
612	LPPR4	9890
613	ADAD1	132612
614	CCNA1	8900
615	STAC	6769
616	RPL10L	140801
617	UCP1	7350
618	CCSER1	401145
619	LPPR5	163404
620	PLCXD3	345557
621	SLC24A5	283652
622	CRH	1392
623	IGSF11	152404
624	CD200	4345
625	SCIN	85477
626	CRHR2	1395
627	VWC2L	402117
628	CNTN1	1272
629	SPERT	220082
630	STMN4	81551
631	TMEM63C	57156
632	DPT	1805
633	SHISA9	729993
634	ZNF831	128611
635	ANKRD45	339416
636	ZDHHC11	79844
637	CCDC112	153733
638	FAM131C	348487
639	GYG1	2992
640	HCN1	348980
641	ATRNL1	26033
642	FAM134B	54463
643	KIFAP3	22920
644	MAP9	79884
645	SUDS3	64426
646	B3GALT2	8707
647	IKZF2	22807
648	SH3TC2	79628
649	MITF	4286
650	TXK	7294
651	CA1	759
652	CP	1356
653	POU1F1	5449
654	SLC26A7	115111
655	CHST9	83539
656	DCDC5	100506627
657	NOX3	50508
658	COL3A1	1281
659	IMPG1	3617
660	SYT4	6860
661	TMPRSS15	5651
662	CYP7B1	9420
663	NALCN	259232
664	HAO1	54363
665	SULT1C3	442038
666	RAB11FIP2	22841
667	CHRM2	1129
668	PTPRO	5800
669	CLCA4	22802
670	NRG4	145957
671	OR51S1	119692
672	AKAP11	11215
673	SQRDL	58472
674	ILDR2	387597
675	LEMD3	23592
676	ANKIB1	54467
677	SSPN	8082
678	CSRP3	8048
679	SPP2	6694
680	CALCRL	10203
681	DCBLD2	131566
682	CTH	1491
683	PMFBP1	83449
684	LNX1	84708
685	SGMS2	166929
686	ANGPT2	285
687	GPR85	54329
688	PLA2G3	50487
689	ATP10B	23120
690	MSR1	4481
691	FASLG	356
692	ASH1L	55870
693	BLMH	642
694	ARFGEF2	10564
695	HHIPL2	79802
696	PKD1L1	168507
697	SCN7A	6332
698	FAM13A	10144
699	PDE4B	5142
700	RAB3C	115827
701	CNDP1	84735
702	SCARA5	286133
703	ELMO2	63916
704	DDR2	4921
705	CD163	9332
706	STOML3	161003
707	LRRC55	219527
708	SPINK8	646424
709	C1QTNF7	114905
710	KCNK18	338567
711	PLB1	151056
712	IL20RB	53833
713	TNFSF15	9966
714	MCCC2	64087
715	SLC10A6	345274
716	A1CF	29974
717	C4ORF17	84103
718	SLC22A9	114571
719	CYP4F11	57834
720	C1ORF64	149563
721	LOC392145	392145
722	ISM2	145501
723	C3orf35	339883
724	FRMD7	90167
725	NOMO3	408050
726	SULT1A2	6799
727	ZC2HC1B	153918
728	RBP5	83758
729	ZNF600	162966
730	ZNF611	81856
731	CASP5	838
732	TTC6	319089
733	LCE2D	353141
734	SLC17A3	10786
735	AFP	174
736	XG	7499
737	FGL1	2267
738	MLIP	90523
739	FAM177A1	283635
740	ZNF607	84775
741	BPIFB2	80341
742	GSDMB	55876
743	SERPINA5	5104
744	CR1	1378
745	CYP3A43	64816
746	G6PC	2538
747	ZNF141	7700
748	TTLL2	83887
749	ABCC11	85320
750	UGT1A8	54576
751	C4BPB	725
752	LAMB4	22798
753	TCN1	6947
754	FAM83B	222584
755	C6ORF201	404220
756	KIF25	3834
757	GPX2	2877
758	PLA2G12B	84647
759	CCL14	6358
760	BTN3A3	10384
761	XKRX	402415
762	FBN3	84467
763	TSGA10IP	254187
764	ZNF480	147657
765	ANKRD29	147463
766	ERICH5	203111
767	FNIP2	57600
768	ST6GALNAC1	55808
769	MEOX1	4222
770	ANPEP	290
771	MAT1A	4143
772	FER1L5	90342
773	SLC5A10	125206
774	SERPINA6	866
775	GABRR3	200959
776	PRM3	58531
777	TLDC2	140711
778	CEP128	145508
779	KIAA2018	205717
780	MR1	3140
781	AHSG	197
782	CHADL	150356
783	TET3	200424
784	BTN3A2	11118
785	CASP10	843
786	CCL16	6360
787	TLX1NB	100038246
788	SLC22A11	55867
789	C11ORF49	79096
790	C2ORF76	130355
791	COLEC11	78989
792	FAM208B	54906
793	C1ORF192	257177
794	C20ORF196	149840
795	C2ORF43	60526
796	C6ORF106	64771
797	DNPH1	10591
798	C7ORF49	78996
799	ZSCAN9	7746
800	MAB21L3	126868
801	NKPD1	284353
802	ABCC2	1244
803	SERPINA10	51156
804	AMBP	259
805	FETUB	26998
806	RGN	9104
807	WWC3	55841
808	SYBU	55638
809	SDC2	6383
810	ACP1	52
811	CEACAM16	388551
812	C10ORF25	220979
813	SIRPG	55423
814	EMC1	23065
815	C11ORF48	79081
816	C12ORF4	57102
817	NID1	4811
818	EXOC1	55763
819	C18ORF32	497661
820	ZNF561	93134
821	GLTSCR1L	23506
822	KIAA1958	158405
823	BCHE	590
824	LIN28B	389421
825	GPR171	29909
826	BPIFA3	128861
827	NEK10	152110
828	CYP19A1	1588
829	CPB2	1361
830	FGA	2243
831	FAM3B	54097
832	MEP1A	4224
833	TPH2	121278
834	MORN5	254956
835	ROS1	6098
836	ABCC6	368
837	CCL20	6364
838	KCNT2	343450
839	KLHL5	51088
840	TRPM8	79054
841	AGT	183
842	MRGPRF	116535
843	TF	7018
844	IGFBP1	3484
845	ITIH2	3698
846	MMP3	4314
847	PLA2G4C	8605
848	C3	718
849	C9	735
850	FCER1G	2207
851	OVGP1	5016
852	MPL	4352
853	NXPE3	91775
854	TOMM20L	387990
855	C3ORF17	25871
856	GLYATL1	92292
857	CIB4	130106
858	F7	2155
859	ZBED9	114821
860	CCDC152	100129792
861	DEFB124	245937
862	SERPINA4	5267
863	KRT39	390792
864	CFHR4	10877
865	SULT6B1	391365
866	ERI2	112479
867	RBM23	55147
868	ITPA	3704
869	QRSL1	55278
870	AADACL4	343066
871	SYCP2L	221711
872	BTBD16	118663
873	FRRS1L	23732
874	MLANA	2315
875	ABHD1	84696
876	SLMO2	51012
877	CANT1	124583
878	GSDMD	79792
879	IL33	90865
880	RBM47	54502
881	MYO7B	4648
882	ACP2	53
883	NR1H3	10062
884	IQCD	115811
885	RPS6KB2	6199
886	SAMD8	142891
887	STAMBP	10617
888	APMAP	57136
889	CTNNBIP1	56998
890	IL17RE	132014
891	IRAK2	3656
892	SLC29A3	55315
893	ZDHHC18	84243
894	ADSSL1	122622
895	PSTPIP2	9050
896	NDUFA11	126328
897	SEPN1	57190
898	CBLC	23624
899	OPTN	10133
900	TRAF3IP1	26146
901	ACSL4	2182
902	RAP1A	5906
903	STRIP1	85369
904	CEP170	9859
905	PPP4R1	9989
906	KDM4A	9682
907	STXBP4	252983
908	CBFA2T2	9139
909	FAM169A	26049
910	FILIP1L	11259
911	PRIM1	5557
912	SAMHD1	25939
913	DDI2	84301
914	ELL	8178
915	HADHB	3032
916	SIMC1	375484
917	TMEM183A	92703
918	SNRNP27	11017
919	SPR	6697
920	AASS	10157
921	AQP8	343
922	TMIGD1	388364
923	HFE2	148738
924	LIN54	132660
925	CPN2	1370
926	HMGCS2	3158
927	CREB3L3	84699
928	PGF	5228
929	RND1	27289
930	PROC	5624
931	PPP1R1A	5502
932	SERPINF2	5345
933	NXPH2	11249
934	VTN	7448
935	PNKD	25953
936	SFXN5	94097
937	PDE6G	5148
938	SLC39A5	283375
939	SIRT7	51547
940	ASGR2	433
941	TAS2R38	5726
942	C17ORF96	100170841
943	C2ORF83	56918
944	CETP	1071
945	PTAR1	375743
946	BTC	685
947	CSF3R	1441
948	CTSO	1519
949	DNASE1L3	1776
950	SORL1	6653
951	CEP162	22832
952	COG5	10466
953	MRPL33	9553
954	TEP1	7011
955	SPC25	57405
956	ACSF2	80221
957	CXCL17	284340
958	SERPINF1	5176
959	REEP4	80346
960	GGNBP1	449520
961	C1ORF86	199990
962	HCG27	253018
963	IL17REL	400935
964	PKD2L1	9033
965	ZNF771	51333
966	PPP1R27	116729
967	RILPL1	353116
968	DDB2	1643
969	SLC28A1	9154
970	MAST2	23139
971	TRAF3	7187
972	AKT2	208
973	DENND4B	9909
974	D2HGDH	728294
975	MPC1	51660
976	ECHS1	1892
977	GUCD1	83606
978	ATP7A	538
979	HOGA1	112817
980	POMGNT1	55624
981	BCL2L10	10017
982	GUCY1B2	2974
983	LRP11	84918
984	SPTLC3	55304
985	DNMBP	23268
986	GARNL3	84253
987	CEP152	22995
988	VWA3B	200403
989	MICA	100507436
990	SRSF8	10929
991	TMEM19	55266
992	ARRDC5	645432
993	FNDC7	163479
994	CCDC93	54520
995	SORBS3	10174
996	EFNB1	1947
997	TLN2	83660
998	LMO3	55885
999	NHEJ1	79840
1000	RB1CC1	9821
1001	USP43	124739
1002	MTMR7	9108
1003	NR0B2	8431
1004	PRDM5	11107
1005	ZNF334	55713
1006	F5	2153
1007	LRCH3	84859
1008	FAM73A	374986
1009	KIF16B	55614
1010	PMM1	5372
1011	NT5DC1	221294
1012	PDLIM5	10611
1013	SELO	83642
1014	VWA1	64856
1015	LURAP1L	286343
1016	USP13	8975
1017	PCOLCE2	26577
1018	BFSP2	8419
1019	WBSCR28	135886
1020	CMC1	152100
1021	WDR20	91833
1022	GAMT	2593
1023	PTGDR2	11251
1024	CEP135	9662
1025	TBCEL	219899
1026	ZC3H14	79882
1027	CYFIP2	26999
1028	SYTL3	94120
1029	15-Sep	9403
1030	TCP11L1	55346
1031	CTSH	1512
1032	DHRS4	10901
1033	MFSD9	84804
1034	ACSM6	142827
1035	FMO5	2330
1036	LAMP2	3920
1037	SPOPL	339745
1038	AQP4	361
1039	C15ORF27	123591
1040	OLFML1	283298
1041	PRND	23627
1042	ANKRD39	51239
1043	ATP5I	521
1044	ANKRD46	157567
1045	NR2C1	7181
1046	PSMC4	5704
1047	MSANTD4	84437
1048	PDK2	5164
1049	C14ORF1	11161
1050	PPP1R32	220004
1051	SLC46A1	113235
1052	TYSND1	219743
1053	GRAMD2	196996
1054	TCIRG1	10312
1055	PTPRN	5798
1056	PXMP4	11264
1057	ACSM5	54988
1058	AQP7	364
1059	PFN3	345456
1060	PLIN4	729359
1061	PLIN5	440503
1062	LOC102723545	102723545
1063	RHO	6010
1064	RNASE13	440163
1065	AIFM2	84883
1066	ARHGAP9	64333
1067	ENTPD5	957
1068	BBOX1	8424
1069	CLDN15	24146
1070	CALML3	810
1071	FAM69A	388650
1072	SEPP1	6414
1073	UCP3	7352
1074	S100A16	140576
1075	THRSP	7069
1076	BRAP	8315
1077	TMEM72	643236
1078	FOCAD	54914
1079	CCDC27	148870
1080	LYPD6	130574
1081	SPG21	51324
1082	TARBP1	6894
1083	AGXT	189
1084	PLG	5340
1085	LIPA	3988
1086	NTSR2	23620
1087	RDH8	50700
1088	SLC22A14	9389
1089	AP1S2	8905
1090	FAM83A	84985
1091	CYP27A1	1593
1092	PNOC	5368
1093	DUSP13	51207
1094	FSD2	123722
1095	MYH7	4625
1096	MYO7A	4647
1097	P2RY4	5030
1098	WFDC1	58189
1099	SEBOX	645832
1100	TSSK3	81629
1101	TRIM65	201292
1102	APOA4	337
1103	ENTPD2	954
1104	APOC3	345
1105	CHDH	55349
1106	EPO	2056
1107	BOK	666
1108	ZNF354C	30832
1109	LTBP3	4054
1110	TENC1	23371
1111	ABAT	18
1112	EMCN	51705
1113	CYP3A5	1577
1114	SULT2A1	6822
1115	TRIM15	89870
1116	ADIG	149685
1117	RASSF9	9182
1118	RHBDL2	54933
1119	CMYA5	202333
1120	TENM1	10178
1121	KATNAL2	83473
1122	SARS2	54938
1123	LRRC16B	90668
1124	SULT2B1	6820
1125	ELF5	2001
1126	RBBP8NL	140893
1127	OR8B8	26493
1128	SLC7A9	11136
1129	TECTA	7007
1130	PSMD10	5716
1131	SLC25A6	293
1132	A2M	2
1133	REP15	387849
1134	CYP8B1	1582
1135	ACSM3	6296
1136	F13A1	2162
1137	C15ORF41	84529
1138	C4ORF22	255119
1139	CYP2J2	1573
1140	STRBP	55342
1141	GC	2638
1142	OPRK1	4986
1143	CYP3A7	1551
1144	DACH2	117154
1145	PASD1	139135
1146	TP53TG1	11257
1147	SMARCA1	6594
1148	C1QTNF3	114899
1149	COL4A6	1288
1150	RFTN2	130132
1151	ABCB5	340273
1152	APOH	350
1153	ATF7IP2	80063
1154	C9ORF153	389766
1155	ZNF254	9534
1156	ZNF680	340252
1157	ACO1	48
1158	FMN2	56776
1159	SOCS6	9306
1160	CCDC54	84692
1161	CDH9	1007
1162	KLHL8	57563
1163	MYOM3	127294
1164	ZNF407	55628
1165	ACVR1	90
1166	KBTBD12	166348
1167	IL21	59067
1168	SPACA7	122258
1169	SPATA16	83893
1170	BATF	10538
1171	COL4A5	1287
1172	SEC16B	89866
1173	GORAB	92344
1174	RAPGEF2	9693
1175	PHKB	5257
1176	UBTD1	80019
1177	KLF17	128209
1178	SNTG2	54221
1179	ZNF595	152687
1180	TLR3	7098
1181	ABCA1	19
1182	PLD1	5337
1183	ANXA2	302
1184	LITAF	9516
1185	PRLR	5618
1186	EFNA1	1942
1187	NDRG1	10397
1188	EXT2	2132
1189	SH3RF2	153769
1190	TUFT1	7286
1191	ABCA4	24
1192	PROM1	8842
1193	MAST4	375449
1194	PCSK5	5125
1195	HPGD	3248
1196	LMOD3	56203
1197	SLC7A11	23657
1198	ADRBK2	157
1199	MALL	7851
1200	CORO2A	7464
1201	MYCBPAP	84073
1202	AKNAD1	254268
1203	MERTK	10461
1204	KIAA1211L	343990
1205	LIMD1	8994
1206	ANXA5	308
1207	RPS6KA3	6197
1208	TPST1	8460
1209	ART3	419
1210	FAM101B	359845
1211	OTOS	150677
1212	TSPAN2	10100
1213	CARD11	84433
1214	PDE11A	50940
1215	SDC3	9672
1216	ABCA5	23461
1217	INPP4A	3631
1218	NOTCH2	4853
1219	PTBP3	9991
1220	AVEN	57099
1221	VPS13C	54832
1222	DTL	51514
1223	INTS7	25896
1224	HIC2	23119
1225	CHPF	79586
1226	SLC26A5	375611
1227	CNNM1	26507
1228	KCNB1	3745
1229	SLC25A28	81894
1230	ABCB1	5243
1231	UGT2A3	79799
1232	CD40LG	959
1233	CSAD	51380
1234	SLC16A5	9121
1235	ST6GAL1	6480
1236	BCL3	602
1237	RCAN1	1827
1238	LBP	3929
1239	SERPINA1	5265
1240	PTGES	9536
1241	PTPRF	5792
1242	BCL9	607
1243	PRKCZ	5590
1244	ABCC1	4363
1245	ST7	7982
